sku,name,main_category,price,weight_grams,description_temp,composition_temp,source_note
,Сет «Наконец-то весна»,Сеты,1999,,Сет из нескольких позиций. Уточнить состав вручную.,,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
,Сет амур,Сеты,1399,,Сет из нескольких позиций. Уточнить состав вручную.,,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
,Суши торт,Сеты,10000,,Сет из нескольких позиций. Уточнить состав вручную.,,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
570,Сет РОЖДЕСТВЕНСКИЙ,Сеты,2690,,Сет из нескольких позиций. Уточнить состав вручную.,,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
320,сет ПО-КАЙФУ,Сеты,1299,,"В набор входят: (по кайфу) зап с цыплёнком, (по кайфу) в огруце, ЛАВА С КРЕВЕТКОЙ, ЛАЙТ ФИЛАДЕЛЬФИЯ С ОГУРЦОМ.","(по кайфу) зап с цыплёнком, (по кайфу) в огруце, ЛАВА С КРЕВЕТКОЙ, ЛАЙТ ФИЛАДЕЛЬФИЯ С ОГУРЦОМ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
401,сет ОСТРЫЙ СТАРТ,Сеты,969,,"В набор входят: БЕЛАЯ ФИЛАДЕЛЬФИЯ, ТОРТИЛЬЯ ЕВГЕШОК, ЗАП КУРА ШИИТАКЕ.","БЕЛАЯ ФИЛАДЕЛЬФИЯ, ТОРТИЛЬЯ ЕВГЕШОК, ЗАП КУРА ШИИТАКЕ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
403,сет Морской,Сеты,929,,"В набор входят: (морской) ЗАП С КРЕВЕТКОЙ 8шт, (морской) зап с лососем 8шт, (морской) зап с мидиями 8шт.","(морской) ЗАП С КРЕВЕТКОЙ 8шт, (морской) зап с лососем 8шт, (морской) зап с мидиями 8шт","Временное описание, собрано автоматически из menu-master.csv / ТТК."
284,сет ЗАПЕЧЕННЫЙ КВАРТЕТ,Сеты,888,,"В набор входят: ЗАП КУРА ШИИТАКЕ, ЗАП КАППА, ЗАП С КУРОЙ, ЗАП ТЕРИЯКИ.","ЗАП КУРА ШИИТАКЕ, ЗАП КАППА, ЗАП С КУРОЙ, ЗАП ТЕРИЯКИ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
406,сет БОЛЬШАЯ КОМПАНИЯ,Сеты,2099,,"В набор входят: ГОР БАРБЕКЮ, ЗАП ЭБИ ТОМАГО, филадельфия ТЕМПУРА, ФУДЗИЯМА, КАТАНА, ЗАП С КУРОЙ, МАКИ КРАБ, ЛАВА С ЛОСОСЕМ ТЕРИЯКИ.","ГОР БАРБЕКЮ, ЗАП ЭБИ ТОМАГО, филадельфия ТЕМПУРА, ФУДЗИЯМА, КАТАНА, ЗАП С КУРОЙ, МАКИ КРАБ, ЛАВА С ЛОСОСЕМ ТЕРИЯКИ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
404,МИНИ БОКС ЗАПЕЧЁННЫЙ,Сеты,839,,"В набор входят: (сет4мини) ЗАП БОНИТО 6шт, (сет 4мини) ЗАП С КРЕВЕТКОЙ 6шт, ЗАП С ЛОСОСЕМ.","(сет4мини) ЗАП БОНИТО 6шт, (сет 4мини) ЗАП С КРЕВЕТКОЙ 6шт, ЗАП С ЛОСОСЕМ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
402,сет ЗАПЕЧЁННАЯ ТРОЙКА,Сеты,779,,"В набор входят: (сет2) ЗАП ЭБИ ТОМАГО 8шт, (сет 2) ЗАП КУРА ШИИТАКЕ 8шт, (сет 2) ЗАП ТЕРИЯКИ 8шт.","(сет2) ЗАП ЭБИ ТОМАГО 8шт, (сет 2) ЗАП КУРА ШИИТАКЕ 8шт, (сет 2) ЗАП ТЕРИЯКИ 8шт","Временное описание, собрано автоматически из menu-master.csv / ТТК."
286,сет ВСТРЕЧА,Сеты,1799,,"В набор входят: ЗАП КАППА, ЯКУ, ЛАЙТ ФИЛАДЕЛЬФИЯ, КАЛИФОРНИЯ КЛАССИЧЕСКАЯ, ЗАП ТЕРИЯКИ, ЗАП С КУРОЙ, ЗАП КУРА ШИИТАКЕ.","ЗАП КАППА, ЯКУ, ЛАЙТ ФИЛАДЕЛЬФИЯ, КАЛИФОРНИЯ КЛАССИЧЕСКАЯ, ЗАП ТЕРИЯКИ, ЗАП С КУРОЙ, ЗАП КУРА ШИИТАКЕ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
287,сет ДРУЖБА,Сеты,1899,,"В набор входят: ТОРТИЛЬЯ КАЙ, ЛАВА С ЛОСОСЕМ ТЕРИЯКИ, КАНИ ИКУРА, КРАБ ТЕМПУРА, ЧИКЕН МАКИ, СЛИВОЧНЫЙ МАСАГО, ФУДЗИЯМА.","ТОРТИЛЬЯ КАЙ, ЛАВА С ЛОСОСЕМ ТЕРИЯКИ, КАНИ ИКУРА, КРАБ ТЕМПУРА, ЧИКЕН МАКИ, СЛИВОЧНЫЙ МАСАГО, ФУДЗИЯМА","Временное описание, собрано автоматически из menu-master.csv / ТТК."
020,сет ДРАКОНЫ,Сеты,2249,,"В набор входят: (БАРХ, ДРАКОН) СЛИВОЧНАЯ КРЕВЕТКА, (ДРАКОН) СЛИВОЧНЫЙ УГОРЬ, (ДРАКОН) СЛИВОЧНЫЙ ЛОСОСЬ.","(БАРХ, ДРАКОН) СЛИВОЧНАЯ КРЕВЕТКА, (ДРАКОН) СЛИВОЧНЫЙ УГОРЬ, (ДРАКОН) СЛИВОЧНЫЙ ЛОСОСЬ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
198,сет ДОБРО,Сеты,1999,,"В набор входят: ЗАП ЭБИ ТОМАГО, ЗАП С КУРОЙ, МАКИ КРАБ, ГОР БАРБЕКЮ, ФУДЗИЯМА, РЕД МОДЕЛЬ, филадельфия ТЕМПУРА.","ЗАП ЭБИ ТОМАГО, ЗАП С КУРОЙ, МАКИ КРАБ, ГОР БАРБЕКЮ, ФУДЗИЯМА, РЕД МОДЕЛЬ, филадельфия ТЕМПУРА","Временное описание, собрано автоматически из menu-master.csv / ТТК."
321,сет ВКУСНО ЕМ,Сеты,1399,,"В набор входят: (вкусно ем) ЗАП С КРАБОМ, (вкусно ем) сливочный КАРБОНАД, ЛАВА С КРЕВЕТКОЙ.","(вкусно ем) ЗАП С КРАБОМ, (вкусно ем) сливочный КАРБОНАД, ЛАВА С КРЕВЕТКОЙ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
285,сет КОРПОРАТИВНЫЙ,Сеты,1999,,"В набор входят: ЯКУ, СЛИВОЧНЫЙ ОГУРЕЦ, ЛАВА С ШИИТАКЕ, ЧИКЕН МАКИ, КАППА-ИРИ, ВАСАБИ-КРАБ, ТОРНАДО, МАКИ КРАБ.","ЯКУ, СЛИВОЧНЫЙ ОГУРЕЦ, ЛАВА С ШИИТАКЕ, ЧИКЕН МАКИ, КАППА-ИРИ, ВАСАБИ-КРАБ, ТОРНАДО, МАКИ КРАБ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
113,сет запеченный ЭТНА,Сеты,499,,В набор входят: (ЭТНА) ЗАП КРАБ ОМЛЕТ.,(ЭТНА) ЗАП КРАБ ОМЛЕТ,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
118,сет ХОСОМАКИ,Сеты,777,,"В набор входят: МАКИ КРЕВЕТКА, МАКИ УГОРЬ, МАКИ КРАБ, СЛИВОЧНЫЙ ОГУРЕЦ.","МАКИ КРЕВЕТКА, МАКИ УГОРЬ, МАКИ КРАБ, СЛИВОЧНЫЙ ОГУРЕЦ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
112,сет запечённый МАКИ,Сеты,799,,"В набор входят: ЗАП КАППА, ЗАП С КУРОЙ, ЗАП С ЛОСОСЕМ.","ЗАП КАППА, ЗАП С КУРОЙ, ЗАП С ЛОСОСЕМ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
144,2 сета по цене 1,Сеты,1999,,В набор входят: сет ТЕМПУРНЫЙ.,сет ТЕМПУРНЫЙ,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
111,сет ВЫГОДНЫЙ,Сеты,1499,,"В набор входят: МАНХЭТТЭН, СПАЙСИ КАРБОНАД, ЗАП С КУРОЙ, ЯСАЙ, ГОР ОСТРЫЙ КРАБ.","МАНХЭТТЭН, СПАЙСИ КАРБОНАД, ЗАП С КУРОЙ, ЯСАЙ, ГОР ОСТРЫЙ КРАБ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
115,сет КОМБО,Сеты,1609,,"В набор входят: ГОР КРАБ, ЛАЙТ ФИЛАДЕЛЬФИЯ x0.75, САКУРА, ГОР САЛЬМОН ТЕРИЯКИ, ГОР КУРА С СЫРОМ.","ГОР КРАБ, ЛАЙТ ФИЛАДЕЛЬФИЯ x0.75, САКУРА, ГОР САЛЬМОН ТЕРИЯКИ, ГОР КУРА С СЫРОМ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
114,сет ЗОЛОТОЙ КЛЮЧИК,Сеты,909,,"В набор входят: (зол. ключик) 4, (зол. ключик) 3, (зол. ключик) 2, (зол. ключик) 1.","(зол. ключик) 4, (зол. ключик) 3, (зол. ключик) 2, (зол. ключик) 1","Временное описание, собрано автоматически из menu-master.csv / ТТК."
318,сет ТРИО,Сеты,1649,,"В набор входят: ЛАЙТ ФИЛАДЕЛЬФИЯ С ОГУРЦОМ, ЛАВА С ШИИТАКЕ, филадельфия ДВОЙНОЙ СЫР.","ЛАЙТ ФИЛАДЕЛЬФИЯ С ОГУРЦОМ, ЛАВА С ШИИТАКЕ, филадельфия ДВОЙНОЙ СЫР","Временное описание, собрано автоматически из menu-master.csv / ТТК."
143,сет ПЛЯЖНЫЙ,Сеты,1279,,"В набор входят: (акция) КАЛИФОРНИЯ, ЛАЙТ ФИЛАДЕЛЬФИЯ С ОГУРЦОМ, САЛЬМОН СКИН ГОЛД, ОВОЩИ В КУНЖУТЕ, ЛАВА С ТАКУАНОМ.","(акция) КАЛИФОРНИЯ, ЛАЙТ ФИЛАДЕЛЬФИЯ С ОГУРЦОМ, САЛЬМОН СКИН ГОЛД, ОВОЩИ В КУНЖУТЕ, ЛАВА С ТАКУАНОМ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
001,сет ТОПЧИК,Сеты,695,,"В набор входят: МАКИ КРАБ x0.5, РОЛЛ С КРЕВЕТКОЙ x0.5, РОЛЛ С ЛОСОСЕМ x0.5.","МАКИ КРАБ x0.5, РОЛЛ С КРЕВЕТКОЙ x0.5, РОЛЛ С ЛОСОСЕМ x0.5","Временное описание, собрано автоматически из menu-master.csv / ТТК."
005,сет ТЕМПУРНЫЙ,Сеты,899,,"В набор входят: КРАБ ТЕМПУРА, КОРЕЙСКИЙ темпура, филадельфия ТЕМПУРА.","КРАБ ТЕМПУРА, КОРЕЙСКИЙ темпура, филадельфия ТЕМПУРА","Временное описание, собрано автоматически из menu-master.csv / ТТК."
004,сет РЫБНЫЙ,Сеты,1039,,"В набор входят: филадельфия КЛАССИЧЕСКАЯ x0.5, КАЛИФОРНИЯ КЛАССИЧЕСКАЯ x0.5, ЛАВА С ЛОСОСЕМ x0.5, СУШИ С КРЕВЕТКОЙ, ГУНКАН ФИЛАДЕЛЬФИЯ.","филадельфия КЛАССИЧЕСКАЯ x0.5, КАЛИФОРНИЯ КЛАССИЧЕСКАЯ x0.5, ЛАВА С ЛОСОСЕМ x0.5, СУШИ С КРЕВЕТКОЙ, ГУНКАН ФИЛАДЕЛЬФИЯ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
003,сет ЗАПЕЧЁННЫЙ,Сеты,888,,"В набор входят: ЗАП КУРА ГРИБ, ЗАП СУРИМИ, ЗАП ТЕРИЯКИ.","ЗАП КУРА ГРИБ, ЗАП СУРИМИ, ЗАП ТЕРИЯКИ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
010,сет ВОСТОРГ,Сеты,1299,,"В набор входят: ЦЕЗАРЬ, ЗАП С КУРОЙ, ЗАП ЭБИ ТОМАГО, ЗАП СУРИМИ x0.75.","ЦЕЗАРЬ, ЗАП С КУРОЙ, ЗАП ЭБИ ТОМАГО, ЗАП СУРИМИ x0.75","Временное описание, собрано автоматически из menu-master.csv / ТТК."
015,сет НА ДВОИХ,Сеты,1919,,"В набор входят: СУШИ С УГРЕМ, СУШИ С КРЕВЕТКОЙ, КАЛИФА С СЫРОМ, ГУНКАН С ЧУКОЙ И КРАБОМ.","СУШИ С УГРЕМ, СУШИ С КРЕВЕТКОЙ, КАЛИФА С СЫРОМ, ГУНКАН С ЧУКОЙ И КРАБОМ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
028,сет УДАЧА,Сеты,1777,,"В набор входят: (удача) в блине, КАППА ХОСОМАКИ, (удача) в крабе, (морской) зап с мидиями, (удача) ЗАП С КУРОЙ 8шт.","(удача) в блине, КАППА ХОСОМАКИ, (удача) в крабе, (морской) зап с мидиями, (удача) ЗАП С КУРОЙ 8шт","Временное описание, собрано автоматически из menu-master.csv / ТТК."
017,сет БАРХАТНЫЙ,Сеты,1899,,"В набор входят: (БАРХАТНЫЙ) лава краб стружка, (БАРХ, ДРАКОН) СЛИВОЧНАЯ КРЕВЕТКА, СЛИВОЧНЫЙ ШИИТАКЕ, КАЛИФОРНИЯ КЛАССИЧЕСКАЯ, ЛАЙТ ФИЛАДЕЛЬФИЯ.","(БАРХАТНЫЙ) лава краб стружка, (БАРХ, ДРАКОН) СЛИВОЧНАЯ КРЕВЕТКА, СЛИВОЧНЫЙ ШИИТАКЕ, КАЛИФОРНИЯ КЛАССИЧЕСКАЯ, ЛАЙТ ФИЛАДЕЛЬФИЯ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
023,сет СЛИВОЧНЫЙ РАЙ,Сеты,2439,,"В набор входят: (БАРХ, ДРАКОН) СЛИВОЧНАЯ КРЕВЕТКА, (ДРАКОН) СЛИВОЧНЫЙ ЛОСОСЬ, (ДРАКОН) СЛИВОЧНЫЙ УГОРЬ, (сл рай) СЛИВОЧНЫЙ, (сл рай) СЛИВОЧНЫЙ БОНИТО.","(БАРХ, ДРАКОН) СЛИВОЧНАЯ КРЕВЕТКА, (ДРАКОН) СЛИВОЧНЫЙ ЛОСОСЬ, (ДРАКОН) СЛИВОЧНЫЙ УГОРЬ, (сл рай) СЛИВОЧНЫЙ, (сл рай) СЛИВОЧНЫЙ БОНИТО","Временное описание, собрано автоматически из menu-master.csv / ТТК."
019,сет ТРИ ФИЛАДЕЛЬФИИ,Сеты,2199,,"В набор входят: филадельфия классическая С ОГУРЦОМ, филадельфия КЛАССИЧЕСКАЯ, филадельфия ЭБИ.","филадельфия классическая С ОГУРЦОМ, филадельфия КЛАССИЧЕСКАЯ, филадельфия ЭБИ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
006,сет МНОГО ЛОСОСЯ,Сеты,1119,,"В набор входят: филадельфия В КУНЖУТЕ, филадельфия ТЕМПУРА, РОЛЛ С ЛОСОСЕМ.","филадельфия В КУНЖУТЕ, филадельфия ТЕМПУРА, РОЛЛ С ЛОСОСЕМ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
007,сет 4 в 1,Сеты,1299,,"В набор входят: ГУНКАН ЛОСОСЬ СПАЙСИ, ЛАЙТ ФИЛАДЕЛЬФИЯ С ОГУРЦОМ, ГОР ЧИКЕН.","ГУНКАН ЛОСОСЬ СПАЙСИ, ЛАЙТ ФИЛАДЕЛЬФИЯ С ОГУРЦОМ, ГОР ЧИКЕН","Временное описание, собрано автоматически из menu-master.csv / ТТК."
009,сет ВЕЧЕРНИЙ,Сеты,1289,,"В набор входят: БЛЭК, филадельфия В КУНЖУТЕ, СЛИВОЧНЫЙ ОГУРЕЦ, ЛАЙТ ФИЛАДЕЛЬФИЯ С ОГУРЦОМ.","БЛЭК, филадельфия В КУНЖУТЕ, СЛИВОЧНЫЙ ОГУРЕЦ, ЛАЙТ ФИЛАДЕЛЬФИЯ С ОГУРЦОМ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
012,сет ПОПУЛЯРНЫЙ,Сеты,1299,,"В набор входят: КИОТО, СЛИВОЧНЫЙ ОГУРЕЦ, ЛАЙТ ФИЛАДЕЛЬФИЯ С ОГУРЦОМ.","КИОТО, СЛИВОЧНЫЙ ОГУРЕЦ, ЛАЙТ ФИЛАДЕЛЬФИЯ С ОГУРЦОМ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
016,сет ХИТ,Сеты,1444,,"В набор входят: ЗАП КАППА, ЗАП КУРА ШИИТАКЕ, ВАСАБИ-КРАБ, ЛАЙТ ФИЛАДЕЛЬФИЯ С ОГУРЦОМ, КИОТО.","ЗАП КАППА, ЗАП КУРА ШИИТАКЕ, ВАСАБИ-КРАБ, ЛАЙТ ФИЛАДЕЛЬФИЯ С ОГУРЦОМ, КИОТО","Временное описание, собрано автоматически из menu-master.csv / ТТК."
018,сет ОЛЛ ИНКЛЮЗИВ,Сеты,1529,,"В набор входят: ГОРЯЧИЙ КРАБ, РОЛЛ С ЛОСОСЕМ, ЛАВА С ЛОСОСЕМ, КАРБОНАД ТЕМПУРА, ЗАП ЭБИ ТОМАГО, ЗАП КАППА.","ГОРЯЧИЙ КРАБ, РОЛЛ С ЛОСОСЕМ, ЛАВА С ЛОСОСЕМ, КАРБОНАД ТЕМПУРА, ЗАП ЭБИ ТОМАГО, ЗАП КАППА","Временное описание, собрано автоматически из menu-master.csv / ТТК."
021,сет ФИЛАДЕЛЬФИЯ,Сеты,1999,,"В набор входят: ЛАЙТ ФИЛАДЕЛЬФИЯ, ЛАЙТ ФИЛАДЕЛЬФИЯ С ОГУРЦОМ, vСG VКkРGЕq5ВmЕEТ6КEQАKМИ, филадельфия С ЧУКОЙ И КРАБОМ.","ЛАЙТ ФИЛАДЕЛЬФИЯ, ЛАЙТ ФИЛАДЕЛЬФИЯ С ОГУРЦОМ, vСG VКkРGЕq5ВmЕEТ6КEQАKМИ, филадельфия С ЧУКОЙ И КРАБОМ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
026,сет ГАВАЙИ,Сеты,3429,,"В набор входят: КАЛИФОРНИЯ С ЛОСОСЕМ, СЛИВОЧНЫЙ ШИИТАКЕ С ЧУКОЙ, КАНАДА ВИП, филадельфия ДВОЙНОЙ СЫР, филадельфия КЛАССИЧЕСКАЯ.","КАЛИФОРНИЯ С ЛОСОСЕМ, СЛИВОЧНЫЙ ШИИТАКЕ С ЧУКОЙ, КАНАДА ВИП, филадельфия ДВОЙНОЙ СЫР, филадельфия КЛАССИЧЕСКАЯ","Временное описание, собрано автоматически из menu-master.csv / ТТК."
027,сет ФИЛАДЕЛЬФИЯ БИГ,Сеты,3809,,"В набор входят: БЕЛАЯ ФИЛАДЕЛЬФИЯ, филадельфия ДВОЙНОЙ СЫР, КАНАДА ВИП, ЛАЙТ ФИЛАДЕЛЬФИЯ С ОГУРЦОМ, филадельфия ТОБИКО.","БЕЛАЯ ФИЛАДЕЛЬФИЯ, филадельфия ДВОЙНОЙ СЫР, КАНАДА ВИП, ЛАЙТ ФИЛАДЕЛЬФИЯ С ОГУРЦОМ, филадельфия ТОБИКО","Временное описание, собрано автоматически из menu-master.csv / ТТК."
423,запечённый двойной эби томаго,Запечённые и жареные роллы,598,,"Состав: ДВЕ ПОРЦИИ ПО РОЛЛА, омлет, соус лава, соус устричный.",ДВЕ ПОРЦИИ ПО 6ШТ РОЛЛА; нори 2/3; рис 100г; омлет 10г; соус лава 30г; соус устричный 6г; кунжут чб 4г,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
412,запечённый Цезарь Делюкс,Запечённые и жареные роллы,399,,"Состав: омлет, помидоры, краб.палочка, шиитаке.","нори 1/2; рис 130г; омлет 10г; помидоры 20г; краб.палочка 10г; шиитаке 10г; соус цезарь 40г; моцарелла 20г (натереть и сверху посыпать); (запекаем вместе с моцареллой); на готовый ореховый соус точкой; кунжут чб; микрозелень ""горошек""","Временное описание, собрано автоматически из menu-master.csv / ТТК."
405,Запеченный Бонито,Запечённые и жареные роллы,439,,"Состав: лосось филе, огурец, сыр сливочный, стружка тунца.",нори 1/2; рис 130г; лосось филе 20г; огурец 20г; сыр сливочный 20г; стружка тунца 5г; сырный д/зап 45г; соус унаги 5г,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
366,Запеченный ЧИКЕН,Запечённые и жареные роллы,499,,"Состав: сыр сливочный, огурец, помидор, кура.",нори 1/2; рис 130г; сыр сливочный 20г; огурец 15г; помидор 15г; кура 20г; кунжут белый на 2 стороны; сырный д/зап 40г; соус унаги 8г; микрозелень горох 4шт (разрезать напополам),"Временное описание, собрано автоматически из menu-master.csv / ТТК."
411,Запечённый цезарь,Запечённые и жареные роллы,379,,"Состав: сыр сливочный, кура, салат айсберг, помидор.",нори 1/2; рис 130г; сыр сливочный 10г; кура 20г; салат айсберг 15г; помидор 15г; соус цезарь 40г; пармезан 5г,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
059,запечённый ТЕРИЯ́КИ,Запечённые и жареные роллы,269,,"Состав: лосось терияки, сырный д/зап, соус спайси, кунжут чб.",нори 2/3; рис 100г; лосось терияки 15г; сырный д/зап 30г; соус спайси 5г; кунжут чб 4г,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
063,запечённый С ЛОСОСЕМ,Запечённые и жареные роллы,299,,"Состав: сыр сливочный, сырный д/зап, соус терияки, кунжут чб.",нори 2/3; рис 100г; сыр сливочный 10г; сырный д/зап 30г; соус терияки 6г; кунжут чб 4г,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
010,запечённый С КУРОЙ,Запечённые и жареные роллы,249,,"Состав: кура, кунжут чб, соус барбекю, соус сырный.",нори 2/3; рис 100г; кура 20г; кунжут чб 4г; соус барбекю 6г; соус сырный 30г,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
081,ГОРЯЧИЙ САЛЬМОН СКИН,Запечённые и жареные роллы,259,,"Состав: кожа в кляре, сыр сливочный, лук зеленый.",нори 1/2; рис 110г; кожа в кляре 25г; сыр сливочный 20г; лук зеленый 10г,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
083,ГОРЯЧАЯ КУРИЦА В ТОРТИЛЬЕ,Запечённые и жареные роллы,289,,"Состав: тортилья, лук зеленый, кура, сыр сливочный.",тортилья 1 шт; лук зеленый 10г; кура 25г; сыр сливочный 50г,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
052,ГОРЯЧИЙ ЭБИ,Запечённые и жареные роллы,299,,"Состав: креветки, чука, соус ореховый.",нори 1/2; рис 110г; креветки (отв) 15г; чука 15г; соус ореховый 10г,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
084,ГОРЯЧАЯ КУРИЦА С СЫРОМ,Запечённые и жареные роллы,279,,"Состав: кура, сыр сливочный, имбирь.",нори 1/2; рис 110г; кура 25г; сыр сливочный 20г; имбирь 10г,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
082,ГОРЯЧИЙ ОСТРЫЙ КРАБ,Запечённые и жареные роллы,279,,"Состав: огурец, соус спайси круг.",нори 1/2; рис 110г; огурец 15г; соус спайси круг 20г,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
077,ГОРЯЧИЙ КРАБ,Запечённые и жареные роллы,285,,"Состав: крабовые палочки, лук зеленый, сыр сливочный.",нори 1/2; рис 110г; крабовые палочки 25г; лук зеленый 10г; сыр сливочный 20г,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
080,ГОРЯЧИЙ БАРБЕКЮ,Запечённые и жареные роллы,289,,"Состав: огурец, кура, помидор, соус барбекю круг.",нори 1/2; рис 110г; огурец 10г; кура 20г; помидор 10г; соус барбекю круг 20г,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
334,ЗАПЕЧЕННАЯ ФИЛАДЕЛЬФИЯ,Запечённые и жареные роллы,899,,"Состав: сыр сливочный, лосось филе, сырный д/зап, соус унаги.",нори 1/2; рис 110г; сыр сливочный 60г; лосось филе 80г; сырный д/зап 40г; соус унаги 10г,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
043,ГОРЯЧИЙ САЛЬМОН ТЕРИЯКИ,Запечённые и жареные роллы,325,,"Состав: салат пекинский, лосось терияки, сыр сливочный, соус спайси круг.",нори 1/2; рис 110г; салат пекинский 10г; лосось терияки 20г; сыр сливочный 20г; соус спайси круг 20г,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
075,ГОРЯЧИЙ ЧИКЕН,Запечённые и жареные роллы,279,,"Состав: кура, помидор, сыр сливочный.",нори 1/2; рис 110г; кура 20г; помидор 20г; сыр сливочный 20г,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
315,Горячий с КРЕВЕТКАМИ,Запечённые и жареные роллы,369,,"Состав: омлет, масаго, креветки, соус лава.",нори 1/2; рис 110г; омлет 20г; масаго 5г; креветки (отв) 20г; соус лава 30г; соус устричный 5г,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
031,Запечённый кура-шиитаке,Запечённые и жареные роллы,259,,"Состав: шиитаке, соус сырный, соус барбекю, кунжут чб.",нори 2/3; рис 100г; шиитаке 10г; соус сырный 30г; соус барбекю 6г; кунжут чб 4г,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
030,Запечённый каппа,Запечённые и жареные роллы,219,,"Состав: огурец, сырный д/зап, соус унаги, кунжут чб.",нори 2/3; рис 100г; огурец 15г; сырный д/зап 30г; соус унаги 6г; кунжут чб 4г,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
032,Запечённый эби томаго,Запечённые и жареные роллы,299,,"Состав: креветки, соус лава, соус устричный, кунжут чб.",нори 2/3; рис 100г; креветки (отв) 10г; соус лава 30г; соус устричный 6г; кунжут чб 4г,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
033,Корейский темпура,Запечённые и жареные роллы,289,,"Состав: помидор, кура, сыр сливочный, соус барбекю.",нори 2/3; рис 110г; помидор 10г; кура 20г; сыр сливочный 20г; соус барбекю 8г,"Временное описание, собрано автоматически из menu-master.csv / ТТК."
